relationship_rank,relationship,target,predictor,lag,province,n_samples,control_mode,spearman_corr,kendall_tau,distance_corr,mutual_info,abs_spearman
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Đắk Lắk,264,month,0.6793541007850048,0.49920059924229987,0.6458745893450002,0.4390404334167517,0.6793541007850048
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Đắk Nông,264,month,0.9468354075958823,0.8222693326674015,0.9503389493722725,1.1524141852455325,0.9468354075958823
1,Diarrhoea_rates <- Influenza_rates (lag 0),Diarrhoea_rates,Influenza_rates,0,squeezed_Đồng Tháp,264,month,0.14688000761761152,0.11940427493230397,0.26932263717520794,0.20977744158198908,0.14688000761761152
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_An Giang,264,month,0.5369418651103554,0.36005877233956685,0.4855887726458141,0.36638093307229536,0.5369418651103554
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_BR Vũng Tàu,264,month,0.672300659630922,0.5009149197263689,0.6605125963709989,0.5844844581870512,0.672300659630922
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_Bình Phước,264,month,0.5844257717698165,0.4423988371675998,0.6005769061360171,0.42212632415213847,0.5844257717698165
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_Bình Thuận,264,month,0.6215669253506907,0.4476842192698601,0.6046382847839276,0.3852676148778529,0.6215669253506907
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_Bình Định,264,month,0.6641171862081445,0.5158892559794543,0.694133212778433,0.5735460165003237,0.6641171862081445
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_Bạc Liêu,264,month,0.3566273083031695,0.25150925791077583,0.37820196626702096,0.3517195311986421,0.3566273083031695
2,Influenza_rates <- Diarrhoea_rates (lag 0),Influenza_rates,Diarrhoea_rates,0,squeezed_Bắc Giang,264,month,0.5616464155162275,0.41920195700230634,0.6609240432486723,0.738359366087022,0.5616464155162275
