province,column,n_unique,std
squeezed_Bình Định,Min_Humidity,63,7.096242642140562
squeezed_Tiền Giang,Min_Average_Temperature,64,1.1305197048906563
squeezed_Bình Phước,Max_Average_Temperature,64,1.5025689185998532
squeezed_Khánh Hòa,Min_Average_Temperature,64,1.6060201806661927
squeezed_An Giang,Min_Absolute_Temperature,64,1.6430880353806425
squeezed_Lạng Sơn,n_raining_days,64,6.440366335770396
squeezed_Cao Bằng,n_raining_days,64,6.612230132268876
squeezed_Long An,Min_Average_Temperature,65,1.2099077093721244
squeezed_Ninh Thuận,Average_temperature,65,1.6679903490151595
squeezed_Sóc Trăng,Min_Absolute_Temperature,65,1.8109318839586224
squeezed_Hà Tĩnh,n_raining_days,65,6.379849444954536
squeezed_Đắk Nông,Max_Absolute_Temperature,66,1.5455273304310326
squeezed_Trà Vinh,Max_Average_Temperature,67,1.1938646722592177
squeezed_Tây Ninh,Min_Average_Temperature,67,1.3051122945781117
squeezed_Đồng Tháp,Min_Absolute_Temperature,67,1.673799475204719
squeezed_Khánh Hòa,Average_temperature,67,1.7749867431830768
squeezed_Thanh Hóa,Average_Humidity,67,3.0666293589736022
squeezed_Tiền Giang,Max_Average_Temperature,68,1.2078498279595808
squeezed_Kon Tum,Average_temperature,68,1.5594462813177907
squeezed_Bắc Giang,n_raining_days,68,6.34823218636703
squeezed_Long An,Min_Absolute_Temperature,70,1.7908397092133903
squeezed_Đắk Nông,Min_Average_Temperature,70,1.8934240207881872
squeezed_Phú Thọ,Dengue_fever_rates,70,6.056421644580616
squeezed_Tây Ninh,Max_Average_Temperature,71,1.311204657713956
squeezed_Tiền Giang,Min_Absolute_Temperature,71,1.7318091926249377
squeezed_Hà Tĩnh,Average_Humidity,71,6.735060546621045
squeezed_Tuyên Quang,Min_Humidity,71,8.525437069210843
squeezed_Đắk Lắk,Average_temperature,72,1.6114164823720274
squeezed_Bình Phước,Min_Absolute_Temperature,72,2.106424510745021
squeezed_Quảng Trị,Min_Humidity,72,8.24371556249077
squeezed_Hà Giang,Min_Humidity,72,8.375385460477043
squeezed_Gia Lai,Min_Humidity,72,9.440476128441851
squeezed_Đắk Nông,Max_Average_Temperature,73,1.7703344379067385
squeezed_Phú Yên,Min_Average_Temperature,73,1.824579296972583
squeezed_Tây Ninh,Min_Absolute_Temperature,73,2.0620315924684385
squeezed_Bắc Kạn,Average_Humidity,73,2.982742023861192
squeezed_Bắc Giang,Average_Humidity,73,3.834268012936513
squeezed_Phú Thọ,Min_Humidity,73,8.564558746554688
squeezed_Đồng Tháp,Max_Average_Temperature,74,1.4021543644510315
squeezed_Kon Tum,Max_Absolute_Temperature,74,1.7849153261523407
squeezed_Khánh Hòa,Max_Average_Temperature,74,2.1410972702474678
squeezed_Ninh Bình,Min_Humidity,74,8.955645978813704
squeezed_Long An,Max_Average_Temperature,75,1.3813115367609305
squeezed_Đắk Lắk,Max_Absolute_Temperature,75,2.095274558704528
squeezed_Thái Bình,Average_Humidity,75,4.290854692294785
squeezed_Quảng Ninh,n_raining_days,75,6.8877279605764965
squeezed_Thái Nguyên,Min_Humidity,75,9.261216457899765
squeezed_Ninh Thuận,Max_Average_Temperature,76,2.2776592949990344
squeezed_Điện Biên,Average_Humidity,76,3.2501321518095754
squeezed_Bắc Kạn,Min_Humidity,76,9.4159962217752
squeezed_Quảng Bình,Min_Humidity,77,9.87558843314293
squeezed_Ninh Thuận,Max_Absolute_Temperature,78,2.421871354673047
squeezed_Đắk Lắk,Min_Absolute_Temperature,78,2.4451756898105304
squeezed_Nam Định,Min_Humidity,78,9.960155786072237
squeezed_Kon Tum,Min_Average_Temperature,79,2.0441187768061475
squeezed_Ninh Thuận,Min_Absolute_Temperature,79,2.079374993013585
squeezed_Phú Yên,Average_temperature,79,2.2261542267925103
squeezed_Điện Biên,n_raining_days,79,8.327008595231646
squeezed_Khánh Hòa,Min_Absolute_Temperature,80,2.1702469624145557
squeezed_Quảng Ngãi,Min_Average_Temperature,80,2.198167613590469
squeezed_Phú Thọ,Average_Humidity,80,3.5292588553098936
squeezed_Thái Nguyên,Average_Humidity,80,3.6752113765057612
squeezed_Kon Tum,Max_Average_Temperature,81,1.940843888621648
squeezed_Lâm Đồng,Average_temperature,82,1.108579514877388
